boro,pop,area,density
Bronx,1.39,42,12778.13354307858
Manhattan,1.59,23,26691.39061641501
Brooklyn,2.47,71,13431.994870391858
Staten Island,0.44,59,2879.4038272904795
Queens,2.23,109,7899.1484895039275
